S/N,Institution,Inst. Code,Region,District,Location,Gender,No. of Programs,Programs (Code - Name),Status
147,Kofi Annan Technical Institute,9081601,Northern,Kumbungu,Nwodua,Mixed,6,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
615 - INFORMATION TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
148,Nyong Technical Institute,9080301,Northern,Karaga,Nyong,Mixed,7,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING",Day/Boarding
149,Savelugu Technical Institute,9081903,Northern,Savelugu Municipal,Savelugu,Mixed,2,"802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/ Boarding
150,Fr. Dogli Memorial Technical Institute,9070401,Oti,Jasikan,New Ayoma,Mixed,11,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
614 - COMPUTER HARDWARE & SOFTWARE
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING",Day/Boarding
151,Kaakyi Technical Institute,9072001,Oti,Kete Krachi,Kete Krachi,Mixed,6,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
152,St Theresa's Technical Institute,9070800,Oti,Krachi Nchumuru,Chinderi,Mixed,7,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
614 - COMPUTER HARDWARE & SOFTWARE
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
901 - BUSINESS SECRETARIAL",Day/Boarding
153,Lolobi Technical Institute,9072112,Oti,Guan,Lolobi Ashiambi,Mixed,5,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
708 - BUILDING CONS. TECH. (CBT OPTION)
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
154,Dambai Technical Institute,9073012,Oti,Krachi East,Dambai,Mixed,5,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
804 - TEXTILE TECHNOLOGY",Day
155,Bole Technical Institute,9080700,Savannah,Bole,Bole,Mixed,7,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY",Day/Boarding
156,Buipe Technical Institute,9081501,Savannah,Central Gonja,Buipe,Mixed,9,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
701 - CREATIVE ART TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY
902 - BUSINESS ACCOUNTING",Day/ Boarding
157,Sawla Girls Vocational Institute,9080655,Savannah,Sawla Tuna Kalba,Sawla,Girls,4,"802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY
901 - BUSINESS SECRETARIAL",Day/Boarding
158,Salaga Technical Institute,9081500,Savannah,East Gonja,Salaga,Mixed,3,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
802 - GARMENT / FASHION TECH.",Day/Boarding
159,Damongo Technical Institute,9082100,Savannah,West Gonja,Damongo,Mixed,2,"706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day/ Boarding
160,Bawku Tech. Inst.,9090101,Upper East,Bawku East,Bawku,Mixed,15,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
612 - ELECTRONICS ENG. TECH.
701 - CREATIVE ART TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
161,Kpalwega Technical Institute,9090102,Upper East,Bawku East,Bawku,Mixed,4,"702 - PLUMBING & GAS TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
901 - BUSINESS SECRETARIAL",Day/Boarding
162,Kusanaba Technical Institute,9090600,Upper East,Bawku West Mun.,Binaba,Mixed,5,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
163,Bolga Tech. Inst.,9090401,Upper East,Bolgatanga,Bolgatanga,Mixed,15,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
701 - CREATIVE ART TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING",Day/Boarding
164,Bolgatanga Central Technical Institute,9090403,Upper East,Bolgatanga Mun,Bolgatanga,Mixed,7,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
901 - BUSINESS SECRETARIAL",Day/Boarding
165,"GRATIS Technical Institute, Bolga",9090402,Upper East,Bolgatanga Mun,Bolgatanga,Mixed,2,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.",Day/Boarding
166,Bongo Technical Institute,9090701,Upper East,Bongo,Bongo,Mixed,4,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
167,Sandema Technical Institute,9091000,Upper East,Builsa North,Sandema,Mixed,6,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
168,TSC Technical Institute - Garu,9090800,Upper East,Garu,Garu,Mixed,2,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.",Day
169,St. Bernadettes Tech/Voc. Institute,9090901,Upper East,Kassena Nanakana East,Navrongo,Mixed,10,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
701 - CREATIVE ART TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING",Day/ Boarding
170,TSC Technical Institute -Kassena Nankana,9090903,Upper East,Kassena Nankana East,,Mixed,10,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
615 - INFORMATION TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
171,Nabango Technical Institute,9095606,Upper East,Kassena Nankana East,Nabango,Mixed,3,"706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
804 - TEXTILE TECHNOLOGY",Day
172,Navrongo Technical Institute,9090902,Upper East,Kassena Nankana Mun.,Navrongo,Mixed,5,"608 - ELECTRICAL ENG. TECH.
621 - LEATHER WORKS TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
173,Namalteng Technical Institute,9091200,Upper East,Talensi,Gbeogo Namalteng,Mixed,5,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY",Day/Boarding
174,Issa Technical Institute,9100800,Upper West,Dafiama Busie Issa,Issa,Mixed,7,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
614 - COMPUTER HARDWARE & SOFTWARE
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
175,St. Basilides Voc./Tech. Inst.,9101001,Upper West,Nadowli Kaleo,Kaleo,Mixed,6,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
622 - SOLAR PV TECHNOLOGY (CBT OPTION)
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day/Boarding
176,"TSC Technical Institute, Nadowli - Kaleo",9101002,Upper West,Nadowli Kaleo,Nadowli,Mixed,2,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.",Day
177,St. John's Voc. Tech. Institute,9100901,Upper West,Nandom,Nandom,Mixed,6,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION",Day/Boarding
178,St Anne's Vocational Training Institute,9100902,Upper West,Nandom,Nandom,Girls,5,"615 - INFORMATION TECH.
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY
810 - BEAUTY THERAPY",Day/Boarding
179,St. Clare's Technical Institute,9100400,Upper West,Sisala East,Tumu,Mixed,5,"608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY",Day/Boarding
180,"GRATIS Technical Institute, Wa",9100103,Upper West,Wa Mun.,Wa,Mixed,2,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.",Day
181,Naa-Momori Technical Institute,9100104,Upper West,Wa Mun.,Wa,Mixed,8,"608 - ELECTRICAL ENG. TECH.
615 - INFORMATION TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY
809 - HAIRDRESSING",Day/Boarding
182,Tibani Technical Institute,9100415,Upper West,Kaleo Nadowu,Tibani,Mixed,4,"705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
804 - TEXTILE TECHNOLOGY",Day/Boarding
183,Birifo Technical Institute,9100741,Upper West,Lawra,Birifo,Mixed,3,"615 - INFORMATION TECH.
705 - WOOD TECHNOLOGY
802 - GARMENT / FASHION TECH.",Day
184,Wa Tech. Inst.,9100101,Upper West,Wa Municipal,Wa,Mixed,15,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
701 - CREATIVE ART TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
185,Nakori Chansa Technical Institute,9100102,Upper West,Wa Municipal,Wa,Mixed,5,"705 - WOOD TECHNOLOGY
802 - GARMENT / FASHION TECH.
804 - TEXTILE TECHNOLOGY
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/Boarding
186,Guo Technical Insititute,9101103,Upper West,Nandom District,Guo,Mixed,4,"705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
804 - TEXTILE TECHNOLOGY",Day/Boarding
187,St. Daniel Comboni Technical Institute,9072101,Volta,Afadzto South,Liati,Mixed,9,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
188,Have Tech. Inst.,9072100,Volta,Afadzto South,Have,Mixed,14,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
189,Avenorpeme Technical Institute,9072400,Volta,Akatsi South,Avenorpeme,Mixed,5,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
190,Ve- Golokwati Technical Institute,9071014,Volta,Afadzto South,Kwati,Mixed,3,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day
191,Avenui-Awudome Technical Institute,9070150,Volta,Ho West,Avenui-Awudome,Mixed,5,"608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
192,Ave Technical Institute,9072401,Volta,Akatsi North,Ave,Mixed,4,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
193,Volta Tech Inst,9070702,Volta,Ho,Matse,Mixed,8,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
194,Ho -Lokoe Technical Institute,9070704,Volta,Ho Mun.,Ho,Mixed,6,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/Boarding
195,Ho Technical Institute,9070703,Volta,Ho Mun.,Ho,Mixed,5,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
196,Amedzofe Technical Institute,9070101,Volta,Ho West,Amedzofe,Mixed,8,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
902 - BUSINESS ACCOUNTING",Day/Boarding
197,Tsibu Technical Institute,9070113,Volta,Ho West,Tsibu Awodume,Mixed,4,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
198,E.P. Tech/Voc Inst,9071002,Volta,Hohoe,Alavanyo,Mixed,9,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
902 - BUSINESS ACCOUNTING",Day/Boarding
199,Anlo Tech. Inst.,9070501,Volta,Anloga Municipal,Anloga,Mixed,14,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
701 - CREATIVE ART TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING",Day/Boarding
200,Caring Sisters Technical Institute,9070503,Volta,Anloga Municipal,Tegbi,Mixed,2,"802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
201,Atorkor Technical Institute,9070500,Volta,Keta Mun,Atorkor,Mixed,7,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
615 - INFORMATION TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY",Day/Boarding
202,Kedzi Technical Institute,9070514,Volta,Keta Mun,Kedzi,Mixed,7,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
805 - GRAPHICS DESIGN TECH.
807 - FINE ARTS - PAINTING",Day
203,Kpando Tech. Inst.,9070601,Volta,Kpando Municpal,Kpando,Mixed,18,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
614 - COMPUTER HARDWARE & SOFTWARE
615 - INFORMATION TECH.
701 - CREATIVE ART TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
703 - FURNITURE TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
708 - BUILDING CONS. TECH. (CBT OPTION)
709 - BIODIGESTER
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING",Day/Boarding
204,C.Y.O. Tech/Voc. Inst.,9070602,Volta,Kpando Municpal,Sovie,Mixed,18,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
617 - COMPUTER NETWORKING (CBT OPTION, FOR GIRLS ONLY)
702 - PLUMBING & GAS TECHNOLOGY
703 - FURNITURE TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY
809 - HAIRDRESSING
810 - BEAUTY THERAPY
902 - BUSINESS ACCOUNTING",Day/Boarding
